ID,Name,Research output type,Title
1118574,"ALLEN, MYLES R (Myles)",Journal article,An analysis of ways to decarbonize conference travel after COVID-19
1127626,"ALLEN, MYLES R (Myles)",Journal article,Progressive supply-side policy under the Paris Agreement to enhance geological carbon storage
1132323,"ALLEN, MYLES R (Myles)",Journal article,The contribution of global aviation to anthropogenic climate forcing for 2000 to 2018.
1146437,"ALLEN, MYLES R (Myles)",Journal article,Concerns over calculating injury-related deaths associated with temperature.
1146463,"ALLEN, MYLES R (Myles)",Journal article,Increased outburst flood hazard from Lake Palcacocha due to human-induced glacier retreat
1162731,"ALLEN, MYLES R (Myles)",Journal article,Method Uncertainty Is Essential for Reliable Confidence Statements of Precipitation Projections
1167625,"ALLEN, MYLES R (Myles)",Conference paper,Impact of sub-seasonal atmosphere-ocean interactions on extreme event statistics
1170375,"ALLEN, MYLES R (Myles)",Journal article,Further improvement of warming-equivalent emissions calculation
1176628,"ALLEN, MYLES R (Myles)",Journal article,Nature-based solutions can help cool the planet — if we act now
1179017,"ALLEN, MYLES R (Myles)",Journal article,FaIRv2.0.0: a generalized impulse response model for climate uncertainty and future scenario exploration
1181517,"ALLEN, MYLES R (Myles)",Journal article,Comment on ‘Unintentional unfairness when applying new greenhouse gas emissions metrics at country level’
1183480,"ALLEN, MYLES R (Myles)",Journal article,Quantifying aviation’s contribution to global warming
1184126,"ALLEN, MYLES R (Myles)",Journal article,Ensuring that offsets and other internationally transferred mitigation outcomes contribute effectively to limiting global warming
1185915,"ALLEN, MYLES R (Myles)",Journal article,Operationalizing the net-negative carbon economy
1198769,"ALLEN, MYLES R (Myles)",Journal article,Forecast-based attribution of a winter heatwave within the limit of predictability
1202862,"ALLEN, MYLES R (Myles)",Journal article,Quantifying non-CO2 contributions to remaining carbon budgets
1204165,"ALLEN, MYLES R (Myles)",Journal article,Upstream decarbonisation through a carbon takeback obligation: an affordable backstop climate policy
1209084,"ALLEN, MYLES R (Myles)",Journal article,Quantifying aviation’s contribution to global warming
1224160,"ALLEN, MYLES R (Myles)",Journal article,Methane and the Paris Agreement temperature goals
1226785,"ALLEN, MYLES R (Myles)",Journal article,The meaning of net zero and how to get it right
1228855,"ALLEN, MYLES R (Myles)",Journal article,Transformations to regenerative food systems-An outline of the FixOurFood project.
1238557,"ALLEN, MYLES R (Myles)",Journal article,Indicate separate contributions of long-lived and short-lived greenhouse gases in emission targets
1249113,"ALLEN, MYLES R (Myles)",Other,Understanding extreme events with multi-thousand member high-resolution global atmospheric simulations
1249114,"ALLEN, MYLES R (Myles)",Other,Impact of sub-seasonal atmosphere-ocean interactions in a large ensemble
1276506,"ALLEN, MYLES R (Myles)",Journal article,"Net zero: science, origins, and implications"
1279485,"ALLEN, MYLES R (Myles)",Preprint,Reliable heatwave attribution based on successful operational weather forecasts
1281896,"ALLEN, MYLES R (Myles)",Journal article,Prosets: a new financing instrument to deliver a durable net zero transition.
1285772,"ALLEN, MYLES R (Myles)",Journal article,Is anthropogenic global warming accelerating?
1308559,"ALLEN, MYLES R (Myles)",Journal article,Risks of seasonal extreme rainfall events in Bangladesh under 1.5 and 2.0 °C warmer worlds – how anthropogenic aerosols change the story
1317658,"ALLEN, MYLES R (Myles)",Journal article,The multi-decadal response to net zero CO2 emissions and implications for emissions policy
1322066,"ALLEN, MYLES R (Myles)",Journal article,Tonga eruption increases chance of temporary surface temperature anomaly above 1.5 °C
1324484,"ALLEN, MYLES R (Myles)",Journal article,Extended producer responsibility for fossil fuels*
